#Organism/Name,TaxID,BioProject Accession,BioProject ID,Group,SubGroup,Size (Mb),GC%,Assembly Accession,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Status,Center,BioSample Accession
Coccidioides posadasii RMSCC 1038,490066,PRJNA17785,17785,Fungi,Ascomycetes,26.1759,47.1,GCA_000150585.1,-,ABIT01,554,-,-,28/01/2008,13/07/2015,Scaffold,Broad Institute,SAMN02953713
[Candida] glabrata,5478,PRJNA297263,297263,Fungi,Ascomycetes,12.6225,38.6,GCA_001466525.1,-,LLWO01,119,5215,5214,15/12/2015,09/02/2016,Scaffold,"Oslo University Hospital, Rikshopitalet",SAMN04121073
Yarrowia lipolytica,4952,PRJNA267549,267549,Fungi,Ascomycetes,0.011236,47.5,GCA_001069125.1,-,JWFM01,16,-,-,10/07/2015,13/07/2016,Contig,University of Washington,SAMN03196996
Rhizopus oryzae 99-133,1279478,PRJNA186016,186016,Fungi,Other Fungi,41.4529,35.4,GCA_000697135.1,-,JNDX01,4317,-,-,02/06/2014,03/06/2014,Contig,IGS,SAMN02371529
Komagataella pastoris,4922,PRJEB12220,311185,Fungi,Ascomycetes,9.35317,41.1,GCA_900010155.1,-,FBUB01,143,-,-,06/02/2016,06/02/2016,Contig,CEBITEC,SAMEA3719072
Saccharomyces pastorianus,27292,PRJDB4073,307492,Fungi,Ascomycetes,14.3434,39.6,GCA_001515465.1,-,BBYX01,387,-,-,13/01/2016,23/03/2016,Contig,Tokyo Institute of Technology,SAMD00035486
Aspergillus flavus,5059,PRJNA294005,294005,Fungi,Ascomycetes,36.204,48.3,GCA_001576725.1,-,LOAO01,999,-,-,26/02/2016,04/05/2016,Contig,USDA,SAMN04013375
Aspergillus niger,5061,PRJNA231221,231221,Fungi,Ascomycetes,35.7384,49.7,GCA_002211485.1,-,NKJJ01,23,11601,11190,30/06/2017,30/06/2017,Contig,US Food and Drug Administration ,SAMN06173324
Aspergillus oryzae,5062,PRJNA320201,320201,Fungi,Ascomycetes,38.5076,47.2,GCA_002007945.1,-,MKZY01,25,11456,11456,28/02/2017,28/02/2017,Contig,"Uppsala Genome Center, Sweden",SAMN04259795
Fusarium oxysporum f. sp. cubense tropical race 4 54006,1089451,PRJNA73539,73539,Fungi,Ascomycetes,46.5538,47.5,GCA_000260195.2,-,AGND01,418,16975,22487,27/04/2012,11/08/2014,Scaffold,Broad Institute,SAMN02981379
Trichophyton rubrum MR1459,1215341,PRJNA186839,186839,Fungi,Ascomycetes,23.1626,47.2,GCA_000616945.1,-,AOLC01,486,9076,10813,02/04/2014,08/04/2014,Scaffold,Broad Institute,SAMN01091674
Verticillium dahliae,27337,PRJNA352681,352681,Fungi,Ascomycetes,33.0284,56,GCA_002893025.1,-,PHNV01,1483,10294,10371,19/01/2018,19/01/2018,Scaffold,NIAB/EMR,SAMN05929039
Blumeria graminis f. sp. hordei A6,1283758,PRJNA186717,186717,Fungi,Ascomycetes,47.465,43.8,GCA_000401675.1,-,AOLT01,21305,-,-,24/05/2013,04/08/2014,Contig,Max Planck Institute for Plant Breeding Research,SAMN01888387
Beauveria bassiana,176275,PRJNA260878,260878,Fungi,Ascomycetes,35.0216,48.7,GCA_001682635.1,-,JRHA01,12,-,-,08/07/2016,10/07/2016,Contig,Wageningen University,SAMN03066967
Puccinia triticina Race 77,1435980,PRJNA277090,277090,Fungi,Basidiomycetes,95.0881,46.7,GCA_001707045.1,-,LACY01,50038,-,-,17/08/2016,17/08/2016,Contig,National Research Centre on Plant Biotechnology,SAMN03384290
Puccinia striiformis f. sp. tritici 87/7,1262396,PRJNA181962,181962,Fungi,Basidiomycetes,53.3988,44.1,GCA_000342625.1,-,AORT01,55495,-,-,01/03/2013,25/04/2013,Contig,UC Davis,SAMN01818053
Microbotryum violaceum,5272,PRJEB12080,358699,Fungi,Basidiomycetes,28.838,56.1,GCA_900014965.1,-,FAXP01,131,-,-,23/12/2016,23/12/2016,Contig,INRA-LIPM,SAMEA3706514
Kluyveromyces marxianus,4911,PRJDB2926,254125,Fungi,Ascomycetes,11.1654,40.1,GCA_000747785.1,-,BBIL01,36,-,-,01/07/2014,23/08/2014,Contig,National Institute of Advanced Industrial Science and Technology,SAMD00017758
Penicillium expansum T01,1407458,PRJNA222879,222879,Fungi,Ascomycetes,33.0326,47.2,GCA_001008385.1,-,AYHP01,527,-,-,15/05/2015,15/05/2015,Contig,"Institute of Botany, Chinese Academy of Sciences, Beijing, China",SAMN02385220
Rhizoctonia solani AG-3,1086053,PRJEB19450,391681,Fungi,Basidiomycetes,51.485,41.4,GCA_900185085.1,-,FXZJ01,1390,-,-,23/06/2017,23/06/2017,Scaffold,CEBITEC,SAMEA104106018
Dothistroma septosporum,64363,PRJNA381823,381823,Fungi,Ascomycetes,43.6163,50.6,GCA_002236565.1,-,NCLC01,3537,-,-,28/07/2017,28/07/2017,Contig,Massey University,SAMN06689750
Macrophomina phaseolina,35725,PRJNA291861,291861,Fungi,Ascomycetes,47.008,51.1,GCA_001307955.1,-,LHTQ01,4124,-,-,07/10/2015,07/10/2015,Scaffold,University of Illinois,SAMN03956207
Fusarium fujikuroi,5127,PRJNA381958,381958,Fungi,Ascomycetes,49.0579,47.4,GCA_002196585.2,-,NCQQ02,881,-,-,16/06/2017,27/11/2017,Scaffold,University of Dayton Research Institute,SAMN06697574
Rhodotorula toruloides,5286,PRJNA297267,297267,Fungi,Basidiomycetes,33.3897,61.9,GCA_001456015.1,-,LKER01,365,-,-,03/12/2015,03/12/2015,Scaffold,University of Exeter,SAMN04121055
Sclerotinia homoeocarpa,38483,PRJNA288037,288037,Fungi,Ascomycetes,36.1844,46.1,GCA_002242955.1,-,LLKG01,3610,-,-,07/08/2017,07/08/2017,Scaffold,Rutgers University,SAMN03792989
Pichia kudriavzevii,4909,PRJNA407009,407009,Fungi,Ascomycetes,10.6413,38.3,GCA_002798095.1,-,NWTR01,345,-,-,28/11/2017,28/11/2017,Scaffold,Korea Research Institute of Bioscience and Biotechnology,SAMN07664798
Rhizopus microsporus,58291,PRJEB7409,267674,Fungi,Other Fungi,49.2383,37.9,GCA_000825725.1,-,CDGI01,1554,19564,20087,24/11/2014,29/11/2014,Scaffold,HKI JENA,SAMEA2796351
Saccharomyces sp. 'boulardii',252598,PRJNA274654,274654,Fungi,Ascomycetes,11.5708,38.1,GCA_001545975.1,-,LNQF01,164,-,-,02/02/2016,02/02/2016,Scaffold,Institute of Microbial Technology,SAMN04270873
Microbotryum lychnidis-dioicae,288795,PRJEB11006,328110,Fungi,Basidiomycetes,26.2875,-,GCA_900009975.1,-,CZCC01,5993,-,-,08/07/2016,08/07/2016,Scaffold,INRA-LIPM,SAMEA3574751
Malassezia sympodialis,76777,PRJNA286710,286710,Fungi,Basidiomycetes,7.52611,58.8,GCA_001264705.1,-,LFGA01,1030,-,-,11/08/2015,11/08/2015,Scaffold,Genome Institute of Singapore,SAMN03774874
Rhizophagus irregularis DAOM 197198w,1432141,PRJNA230015,230015,Fungi,Other Fungi,115.781,27.3,GCA_000597645.1,-,JARA01,13321,-,-,10/02/2014,10/02/2014,Scaffold,"Laboratory of Computational Molecular Biology, College of Life Sciences, Beijing Normal University",SAMN02422736
Malassezia furfur,55194,PRJNA286710,286710,Fungi,Basidiomycetes,7.79062,64.2,GCA_001265065.1,-,LFGJ01,2092,-,-,11/08/2015,11/08/2015,Scaffold,Genome Institute of Singapore,SAMN03774904
[Candida] boidinii,5477,PRJNA359406,359406,Fungi,Ascomycetes,19.1208,30.9,GCA_002008065.1,-,MSSA01,597,5534,5534,28/02/2017,12/06/2017,Scaffold,University of Sassari,SAMN06191612
Cryptococcus gattii VGII CA1014,1296107,PRJNA191329,191329,Fungi,Basidiomycetes,17.5276,47.9,GCA_000875795.1,-,ASCS01,21,6628,6481,10/02/2015,17/02/2015,Scaffold,Broad Institute,SAMN01932844
Cryptococcus gattii VGII MMRL2647,1296117,PRJNA191372,191372,Fungi,Basidiomycetes,17.4857,47.9,GCA_000875855.1,-,ATAN01,25,6624,6475,10/02/2015,17/02/2015,Scaffold,Broad Institute,SAMN01932886
[Candida] boidinii,5477,PRJNA359406,359406,Fungi,Ascomycetes,18.8044,32.7,GCA_002008075.1,-,MSSB01,429,5643,5643,28/02/2017,12/06/2017,Scaffold,University of Sassari,SAMN06191614
Malassezia furfur,55194,PRJNA322049,322049,Fungi,Basidiomycetes,14.1584,62.8,GCA_002549865.1,-,MATP01,15800,-,-,13/10/2017,13/10/2017,Scaffold,University of Utrecht,SAMN05011616
Rhizophagus irregularis DAOM 197198w,1432141,PRJNA230015,230015,Fungi,Other Fungi,117.1,27.3,GCA_000597665.1,-,JARB01,12854,-,-,10/02/2014,10/02/2014,Scaffold,"Laboratory of Computational Molecular Biology, College of Life Sciences, Beijing Normal University",SAMN02422735
Malassezia sympodialis,76777,PRJNA286710,286710,Fungi,Basidiomycetes,7.56228,58.9,GCA_001264715.1,-,LFCY01,769,-,-,11/08/2015,11/08/2015,Scaffold,Genome Institute of Singapore,SAMN03774875
Microbotryum lychnidis-dioicae,288795,PRJEB11006,328110,Fungi,Basidiomycetes,33.4626,51.9,GCA_900010185.1,-,CZCL01,5445,-,-,08/07/2016,08/07/2016,Scaffold,INRA-LIPM,SAMEA3578347
Saccharomyces sp. 'boulardii',252598,PRJNA308002,308002,Fungi,Ascomycetes,11.5695,37.9,GCA_001625055.1,-,LRVB01,324,-,-,30/03/2016,30/03/2016,Scaffold,Emory University,SAMN04386102
Rhizopus microsporus,58291,PRJEB7410,267675,Fungi,Other Fungi,49.5918,38.4,GCA_900000135.1,-,CCYT01,1386,18885,22427,24/11/2014,09/04/2015,Scaffold,HKI JENA,SAMEA2796391
Sclerotinia homoeocarpa,38483,PRJNA288036,288036,Fungi,Ascomycetes,37.2441,45.6,GCA_002242965.1,-,LLKH01,3606,-,-,07/08/2017,07/08/2017,Scaffold,Rutgers University,SAMN03792988
Rhodotorula toruloides,5286,PRJNA301547,301547,Fungi,Basidiomycetes,21.4929,61.5,GCA_001542265.1,-,LNKU01,137,-,-,27/01/2016,07/04/2016,Scaffold,Temasek Life Sciences Laboratory,SAMN04253449
Dothistroma septosporum,64363,PRJNA381823,381823,Fungi,Ascomycetes,30.1546,53.1,GCA_002236575.1,-,NBZO01,132,-,-,28/07/2017,28/07/2017,Contig,Massey University,SAMN06689748
Penicillium expansum YT02,858480,PRJNA50009,50009,Fungi,Ascomycetes,31.252,49.8,GCA_002072455.1,-,JARG01,52,-,-,24/03/2017,24/03/2017,Scaffold,University of Oklahoma,SAMN03276233
Kluyveromyces marxianus,4911,PRJNA316809,316809,Fungi,Ascomycetes,10.6955,40,GCA_001692465.1,-,LYPD01,1096,-,-,21/07/2016,21/07/2016,Contig,University of the Free State,SAMN04590183
Microbotryum violaceum,5272,PRJEB12080,358699,Fungi,Basidiomycetes,25.4106,56.3,GCA_900015415.1,-,FBRN01,147,-,-,23/12/2016,23/12/2016,Contig,INRA-LIPM,SAMEA3706517
Puccinia striiformis,27350,PRJNA277552,277552,Fungi,Basidiomycetes,65.1845,44.4,GCA_002008925.1,-,LACS01,22208,-,-,01/03/2017,01/03/2017,Contig,National Research Centre on Plant Biotechnology,SAMN03389099
Puccinia triticina Race 77,1435980,PRJNA277090,277090,Fungi,Basidiomycetes,93.7177,46.7,GCA_001707075.1,-,LADD01,50107,-,-,18/08/2016,18/08/2016,Contig,National Research Centre on Plant Biotechnology,SAMN03384295
Beauveria bassiana,176275,PRJNA378127,378127,Fungi,Ascomycetes,34.5603,49,GCA_002224115.1,-,MWYT01,35,-,-,24/07/2017,24/07/2017,Contig,National Center for Genetic Engineering and Biotechnology (BIOTEC),SAMN06480073
Verticillium dahliae,27337,PRJNA352681,352681,Fungi,Ascomycetes,32.3555,56.4,GCA_002893035.1,-,PHNW01,1382,10330,10415,19/01/2018,19/01/2018,Scaffold,NIAB/EMR,SAMN05924795
Trichophyton rubrum CBS 735.88,1215332,PRJNA186832,186832,Fungi,Ascomycetes,22.6301,47.8,GCA_000616965.1,-,JHQM01,342,9023,10776,02/04/2014,08/04/2014,Scaffold,Broad Institute,SAMN01091665
Fusarium oxysporum f. sp. conglutinans race 2 54008,1089457,PRJNA73543,73543,Fungi,Ascomycetes,53.5754,47.7,GCA_000260215.2,-,AGNF01,2552,20232,26246,27/04/2012,11/08/2014,Scaffold,Broad Institute,SAMN02981380
Aspergillus oryzae,5062,PRJNA390862,390862,Fungi,Ascomycetes,37.1289,48.3,GCA_002214955.1,-,NJIL01,77,-,-,05/07/2017,05/07/2017,Contig,Microbial Institute for Fermentation Industry,SAMN07251619
Aspergillus niger,5061,PRJNA255851,255851,Fungi,Ascomycetes,35.3967,49.8,GCA_002740505.1,-,JPOR01,405,-,-,31/10/2017,31/10/2017,Contig,South China University of Technology,SAMN02929409
Aspergillus flavus,5059,PRJNA293565,293565,Fungi,Ascomycetes,35.9938,48.3,GCA_001576735.1,-,LOAK01,999,-,-,26/02/2016,04/05/2016,Contig,USDA,SAMN04007310
Saccharomyces pastorianus Weihenstephan 34/70,520522,PRJDB4073,307492,Fungi,Ascomycetes,22.269,39.1,GCA_001515485.1,-,BBYY01,872,-,-,13/01/2016,23/03/2016,Contig,Tokyo Institute of Technology,SAMD00035489
Komagataella pastoris,4922,PRJEB12220,311185,Fungi,Ascomycetes,9.3698,41.1,GCA_900013415.1,-,FBUC01,223,-,-,06/02/2016,06/02/2016,Contig,CEBITEC,SAMEA3719069
Rhizopus oryzae,64495,PRJNA186024,186024,Fungi,Other Fungi,42.9004,35.3,GCA_000697195.1,-,JNEF01,4566,-,-,02/06/2014,26/07/2016,Contig,IGS,SAMN02352524
[Candida] glabrata,5478,PRJNA297263,297263,Fungi,Ascomycetes,12.6049,38.6,GCA_001466535.1,-,LMAA01,144,5191,5191,15/12/2015,09/02/2016,Scaffold,"Oslo University Hospital, Rikshopitalet",SAMN04121074
Coccidioides posadasii CPA 0020,490068,PRJNA17795,17795,Fungi,Ascomycetes,27.3473,46.8,GCA_000150615.1,-,ABIV01,624,-,-,28/01/2008,13/07/2015,Scaffold,Broad Institute,SAMN02953714
Saccharomyces kudriavzevii FM1072,1163638,PRJNA42347,42347,Fungi,Ascomycetes,10.0348,41.3,GCA_000256845.1,-,AJHV01,1781,-,-,23/03/2012,20/04/2012,Scaffold,University of Colorado Denver Health Sciences Center,SAMN00829185
Magnaporthe oryzae,318829,PRJNA245782,245782,Fungi,Ascomycetes,35.7599,51.4,GCA_000734085.1,-,JMKD01,8396,-,-,28/07/2014,28/07/2014,Contig,Seoul National University,SAMN02739928
Fusarium graminearum,5518,PRJNA397367,397367,Fungi,Ascomycetes,36.8838,48.2,GCA_002352725.1,-,NQOC01,67,11827,11827,25/09/2017,17/10/2017,Scaffold,University of Pisa,SAMN07455307
Cryptococcus neoformans var. grubii Br795,1230061,PRJNA174544,174544,Fungi,Basidiomycetes,18.9302,48.2,GCA_002222225.1,-,AMLE01,625,6945,6945,20/07/2017,20/07/2017,Contig,Broad Institute,SAMN01162750
Saccharomyces cerevisiae YJM1129,1293430,PRJNA189300,189300,Fungi,Ascomycetes,13.0833,38.7309,GCA_000975705.2,chromosome I:CP004445.2; chromosome II:CP004604.2; chromosome III:CP006274.2; chromosome IV:CP004695.2; chromosome V:CP004789.1; chromosome VI:CP004925.2; chromosome VII:CP005229.1; chromosome VIII:CP006062.2; chromosome IX:CP005017.2; chromosome X:CP005112.2; chromosome XI:CP005326.2; chromosome XII:CP006378.1; chromosome XIII:CP005427.1; chromosome XIV:CP005529.2; chromosome XV:CP005623.1; chromosome XVI:CP006154.2; plasmid 2 micron:CP004531.1; mitochondrion MT:CP006509.1,-,18,7642,5475,23/02/2015,09/04/2015,Chromosome,Duke University,SAMN01919312
Candida albicans A67,1182535,PRJNA165029,165029,Fungi,Ascomycetes,14.6882,33.7,GCA_000447515.1,-,AVAU01,64,-,-,15/08/2013,04/08/2014,Scaffold,Broad Institute,SAMN00974108
Aspergillus fumigatus var. RP-2014,1476192,PRJNA237468,237468,Fungi,Ascomycetes,27.3551,50.2,GCA_000731615.1,-,JHOI01,671,8825,8825,18/07/2014,18/07/2014,Scaffold,Oklahoma State University,SAMN02628958
Candida albicans A48,1182534,PRJNA165027,165027,Fungi,Ascomycetes,14.7,33.6,GCA_000447535.1,-,AVAV01,87,-,-,15/08/2013,04/08/2014,Scaffold,Broad Institute,SAMN00974107
Aspergillus fumigatus var. fumigatus,41122,PRJDB3633,313802,Fungi,Ascomycetes,28.3887,49.4,GCA_001599455.1,-,BCGY01,26,-,-,01/03/2016,01/03/2016,Scaffold,"RIKEN Center for Life Science Technologies, Division of Genomic Technologies",SAMD00028353
Saccharomyces cerevisiae YJM189,1294303,PRJNA189847,189847,Fungi,Ascomycetes,12.2614,38.406,GCA_000975735.4,chromosome I:CP004410.2; chromosome II:CP004614.2; chromosome III:CP006331.2; chromosome IV:CP004660.2; chromosome V:CP004754.2; chromosome VI:CP004890.2; chromosome VII:CP005194.2; chromosome VIII:CP006119.2; chromosome IX:CP004982.2; chromosome X:CP005114.1; chromosome XI:CP005291.2; chromosome XII:CP006435.1; chromosome XIII:CP005392.2; chromosome XIV:CP005494.2; chromosome XV:CP005588.2; chromosome XVI:CP006211.2; plasmid 2 micron:CP004502.1; mitochondrion MT:CP006474.1,-,18,6564,5437,23/02/2015,09/04/2015,Chromosome,Duke University,SAMN01923113
Cryptococcus neoformans var. grubii CHC193,1230064,PRJNA174547,174547,Fungi,Basidiomycetes,18.6485,48.2,GCA_002222295.1,-,AMLB01,519,6960,6960,20/07/2017,20/07/2017,Contig,Broad Institute,SAMN01162753
Magnaporthe oryzae,318829,PRJNA245782,245782,Fungi,Ascomycetes,37.5568,51.8,GCA_000734095.1,-,JMKE01,5680,-,-,28/07/2014,28/07/2014,Contig,Seoul National University,SAMN02739886
Saccharomyces kudriavzevii FM1069,1163632,PRJNA42347,42347,Fungi,Ascomycetes,10.4009,39.8,GCA_000256865.1,-,AJHT01,1806,-,-,23/03/2012,20/04/2012,Scaffold,University of Colorado Denver Health Sciences Center,SAMN00829179
Coccidioides posadasii CPA 0066,490069,PRJNA17797,17797,Fungi,Ascomycetes,27.7909,46.3,GCA_000150645.1,-,ABIW01,475,-,-,06/02/2008,13/07/2015,Scaffold,Broad Institute,SAMN02953715
[Candida] glabrata,5478,PRJNA297263,297263,Fungi,Ascomycetes,12.8659,38.6,GCA_001466565.1,-,LMAB01,183,5334,5331,15/12/2015,09/02/2016,Scaffold,"Oslo University Hospital, Rikshopitalet",SAMN04121078
Komagataella pastoris,4922,PRJEB12220,311185,Fungi,Ascomycetes,9.35555,41.1,GCA_900016195.1,-,FBTH01,129,-,-,06/02/2016,06/02/2016,Contig,CEBITEC,SAMEA3718943
Saccharomyces pastorianus,27292,PRJNA311572,311572,Fungi,Ascomycetes,22.3394,39.1,GCA_001640265.1,-,LSMH01,1098,-,-,08/05/2016,23/06/2016,Contig,Universidad Autonoma de Nuevo Leon,SAMN04485893
Aspergillus flavus,5059,PRJNA293884,293884,Fungi,Ascomycetes,36.0846,48.4,GCA_001576745.1,-,LOAM01,999,-,-,26/02/2016,04/05/2016,Contig,USDA,SAMN04011600
Aspergillus niger,5061,PRJDB4313,306851,Fungi,Ascomycetes,34.8802,49.4,GCA_001515345.1,-,BCMY01,669,10373,10373,19/12/2015,19/12/2015,Scaffold,"Shandong University, lushanwang",SAMD00042526
Aspergillus oryzae,5062,PRJNA390860,390860,Fungi,Ascomycetes,36.9749,48.3,GCA_002214965.1,-,NJIK01,93,-,-,05/07/2017,05/07/2017,Contig,Microbial Institute for Fermentation Industry,SAMN07251617
Fusarium oxysporum f. sp. raphani 54005,1089458,PRJNA73545,73545,Fungi,Ascomycetes,53.4994,47.8,GCA_000260235.2,-,AGNG01,1218,19663,25666,27/04/2012,11/08/2014,Scaffold,Broad Institute,SAMN02981381
Trichophyton rubrum CBS 202.88,1215334,PRJNA186833,186833,Fungi,Ascomycetes,23.1164,47.9,GCA_000616985.1,-,AOKX01,533,9162,10820,02/04/2014,08/04/2014,Scaffold,Broad Institute,SAMN01091667
Verticillium dahliae,27337,PRJNA352681,352681,Fungi,Ascomycetes,32.5608,55.9,GCA_002893045.1,-,PHNX01,1155,9925,9986,19/01/2018,19/01/2018,Scaffold,NIAB/EMR,SAMN05924275
Beauveria bassiana,176275,PRJNA352877,352877,Fungi,Ascomycetes,36.5384,48,GCA_002871155.1,-,MRVG01,39,10841,10695,10/01/2018,10/01/2018,Contig,Chonbuk National University,SAMN06006479
Puccinia triticina Race 77,1435980,PRJNA277090,277090,Fungi,Basidiomycetes,95.1276,46.7,GCA_001707095.1,-,LADB01,49880,-,-,18/08/2016,18/08/2016,Contig,National Research Centre on Plant Biotechnology,SAMN03384293
Puccinia striiformis,27350,PRJNA277553,277553,Fungi,Basidiomycetes,68.6564,44.4,GCA_002008935.1,-,LACT01,24639,-,-,01/03/2017,01/03/2017,Contig,National Research Centre on Plant Biotechnology,SAMN03393588
Microbotryum violaceum,5272,PRJEB12080,358699,Fungi,Basidiomycetes,31.7805,55,GCA_900015425.1,-,FBRT01,166,-,-,23/12/2016,23/12/2016,Contig,INRA-LIPM,SAMEA3706522
Kluyveromyces marxianus,4911,PRJNA172247,172247,Fungi,Ascomycetes,10.712,40.2,GCA_001466335.1,-,LDJA01,100,-,-,14/12/2015,22/05/2017,Scaffold,Indian Institute of Petroleum,SAMN01103505
Dothistroma septosporum,64363,PRJNA381823,381823,Fungi,Ascomycetes,30.8826,52.9,GCA_002236585.1,-,NBZN01,218,-,-,28/07/2017,28/07/2017,Contig,Massey University,SAMN06689747
Fusarium fujikuroi,5127,PRJEB14872,412609,Fungi,Ascomycetes,43.9984,48.1,GCA_900096505.1,-,FMSL01,66,16170,15852,03/10/2017,03/10/2017,Scaffold,Technische Universitat Munchen - WZW,SAMEA4436914
Rhodotorula toruloides,5286,PRJNA301547,301547,Fungi,Basidiomycetes,20.7501,61.9,GCA_001542305.1,-,LNQQ01,61,-,-,27/01/2016,07/04/2016,Scaffold,Temasek Life Sciences Laboratory,SAMN04253450
Sclerotinia homoeocarpa,38483,PRJNA288038,288038,Fungi,Ascomycetes,36.0039,46.1,GCA_002242985.1,-,LLKF01,4789,-,-,07/08/2017,07/08/2017,Scaffold,Rutgers University,SAMN03792990
Microbotryum lychnidis-dioicae,288795,PRJEB11006,328110,Fungi,Basidiomycetes,26.3536,55.3,GCA_900010235.1,-,CZCD01,4669,-,-,08/07/2016,08/07/2016,Scaffold,INRA-LIPM,SAMEA3577915
Malassezia sympodialis,76777,PRJNA286710,286710,Fungi,Basidiomycetes,7.5469,58.8,GCA_001264925.1,-,LFFZ01,824,-,-,11/08/2015,11/08/2015,Scaffold,Genome Institute of Singapore,SAMN03774872
Rhizophagus irregularis DAOM 197198w,1432141,PRJNA230015,230015,Fungi,Other Fungi,140.696,27.5,GCA_000597685.1,-,JEMT01,30233,27300,29911,18/03/2014,18/03/2014,Scaffold,"Laboratory of Computational Molecular Biology, College of Life Sciences, Beijing Normal University",SAMN02422737
[Candida] boidinii,5477,PRJNA359406,359406,Fungi,Ascomycetes,19.1299,30.9,GCA_002008085.1,-,MSSD01,552,5530,5530,28/02/2017,12/06/2017,Scaffold,University of Sassari,SAMN06191616
[Candida] boidinii,5477,PRJNA359406,359406,Fungi,Ascomycetes,19.1659,31,GCA_002008095.1,-,MSSC01,626,5530,5530,28/02/2017,12/06/2017,Scaffold,University of Sassari,SAMN06191615
Rhizophagus irregularis,588596,PRJNA299202,299202,Fungi,Other Fungi,125.354,26,GCA_001593125.1,-,LLXH01,11196,26582,26476,16/03/2016,11/12/2017,Scaffold,University of Ottawa,SAMN04195188
Microbotryum lychnidis-dioicae,288795,PRJEB11006,328110,Fungi,Basidiomycetes,27.331,-,GCA_900010535.1,-,CZCM01,5305,-,-,08/07/2016,08/07/2016,Scaffold,INRA-LIPM,SAMEA3578420
Sclerotinia homoeocarpa,38483,PRJNA288039,288039,Fungi,Ascomycetes,35.8872,46,GCA_002242995.1,-,LLKE01,4289,-,-,07/08/2017,07/08/2017,Scaffold,Rutgers University,SAMN03792991
Rhodotorula toruloides,5286,PRJDB3686,313847,Fungi,Basidiomycetes,20.4926,61.8,GCA_001600115.1,-,BCIY01,88,-,-,01/03/2016,01/03/2016,Scaffold,"RIKEN Center for Life Science Technologies, Division of Genomic Technologies",SAMD00028406
Fusarium fujikuroi,5127,PRJEB14872,412609,Fungi,Ascomycetes,44.0416,47.1,GCA_900096615.1,-,FMJV01,241,15694,15371,03/10/2017,03/10/2017,Scaffold,Technische Universitat Munchen - WZW,SAMEA4440732
Dothistroma septosporum,64363,PRJNA381823,381823,Fungi,Ascomycetes,30.2594,53,GCA_002236615.1,-,NBZH01,174,-,-,28/07/2017,28/07/2017,Contig,Massey University,SAMN06689741
Microbotryum violaceum,5272,PRJEB12080,358699,Fungi,Basidiomycetes,35.1356,55.9,GCA_900015435.1,-,FBRO01,162,-,-,23/12/2016,23/12/2016,Contig,INRA-LIPM,SAMEA3706519
Puccinia striiformis,27350,PRJNA277554,277554,Fungi,Basidiomycetes,69.5926,44.4,GCA_002008965.1,-,LACU01,20258,-,-,01/03/2017,01/03/2017,Contig,National Research Centre on Plant Biotechnology,SAMN03393589
Puccinia triticina Race 77,1435980,PRJNA231547,231547,Fungi,Basidiomycetes,99.5919,-,GCA_001707215.1,-,AZRO01,37447,-,-,17/08/2016,17/08/2016,Contig,National Research Centre on Plant Biotechnology,SAMN02444500
Beauveria bassiana,176275,PRJNA355122,355122,Fungi,Ascomycetes,35.1901,51.7,GCA_001931865.2,-,MSJG02,735,-,-,04/01/2017,15/02/2017,Scaffold,"Jet Propulsion Laboratory, California Institute of Technology",SAMN06076681
Trichophyton rubrum D6,1215335,PRJNA186838,186838,Fungi,Ascomycetes,23.1245,47.2,GCA_000622995.1,-,AOLB01,574,9007,10659,02/04/2014,09/05/2014,Contig,Broad Institute,SAMN01091668
Fusarium oxysporum f. sp. melonis 26406,1089452,PRJNA73541,73541,Fungi,Ascomycetes,54.0343,47.5,GCA_000260495.2,-,AGNE01,1146,20030,26719,30/04/2012,20/08/2014,Scaffold,Broad Institute,SAMN02981378
Aspergillus oryzae RIB40,510516,PRJNA277168,277168,Fungi,Ascomycetes,37.0643,48.3,GCA_000965245.1,-,JZJM01,120,-,-,27/03/2015,27/03/2015,Scaffold,"National Institute of Advanced Industrial Science and Technology, AIST",SAMN03379015
Aspergillus niger,5061,PRJNA288269,288269,Fungi,Ascomycetes,34.6357,50.1,GCA_001741885.1,-,LMYC01,319,-,-,21/09/2016,21/09/2016,Scaffold,Jiangnan University,SAMN04074916
Aspergillus flavus,5059,PRJNA294002,294002,Fungi,Ascomycetes,36.5787,48.3,GCA_001576795.1,-,LLET01,670,-,-,26/02/2016,04/05/2016,Contig,USDA,SAMN04013374
Saccharomyces pastorianus CBS 1503,1429090,PRJNA229839,229839,Fungi,Ascomycetes,16.4148,39.3,GCA_002557695.1,-,AYZZ01,720,-,-,16/10/2017,16/10/2017,Contig,Carlsberg Laboratory,SAMN07774501
Komagataella pastoris,4922,PRJEB12220,311185,Fungi,Ascomycetes,9.34922,41.1,GCA_900016385.1,-,FBTG01,145,-,-,06/02/2016,06/02/2016,Contig,CEBITEC,SAMEA3718941
[Candida] glabrata,5478,PRJNA297263,297263,Fungi,Ascomycetes,12.8261,38.6,GCA_001466575.1,-,LLZY01,132,5293,5293,15/12/2015,09/02/2016,Scaffold,"Oslo University Hospital, Rikshopitalet",SAMN04121076
